iShares Core S&P 500 ETF
Fund Holdings as of,"May 23, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"742,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","22,632,977,685.16","7.34","22,632,977,685.16","131,924,561.00","171.56","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","20,816,214,267.20","6.75","20,816,214,267.20","66,028,720.00","315.26","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","9,093,370,678.35","2.95","9,093,370,678.35","79,079,665.00","114.99","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","6,696,402,702.08","2.17","6,696,402,702.08","21,820,916.00","306.88","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","6,475,026,679.04","2.10","6,475,026,679.04","52,831,484.00","122.56","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","5,678,236,965.89","1.84","5,678,236,965.89","46,055,941.00","123.29","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","5,163,882,952.21","1.67","5,163,882,952.21","15,981,811.00","323.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","4,871,427,791.88","1.58","4,871,427,791.88","19,743,162.00","246.74","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,431,832,222.35","1.44","4,431,832,222.35","23,856,555.00","185.77","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,973,562,282.56","1.29","3,973,562,282.56","8,287,924.00","479.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","3,886,567,708.80","1.26","3,886,567,708.80","36,527,892.00","106.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,636,622,578.27","1.18","3,636,622,578.27","23,191,267.00","156.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,553,849,294.89","1.15","3,553,849,294.89","26,018,371.00","136.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","3,237,050,081.10","1.05","3,237,050,081.10","14,413,795.00","224.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,087,670,548.30","1.00","3,087,670,548.30","20,926,266.00","147.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
