iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 01, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"746,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","19,354,681,843.31","6.55","19,354,681,843.31","133,195,801.00","145.31","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","16,352,043,311.88","5.53","16,352,043,311.88","66,398,844.00","246.27","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","7,286,570,228.73","2.47","7,286,570,228.73","79,055,769.00","92.17","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","5,034,203,265.78","1.70","5,034,203,265.78","22,179,061.00","226.98","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","4,888,644,416.94","1.65","4,888,644,416.94","16,048,337.00","304.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,847,797,177.74","1.64","4,847,797,177.74","23,907,862.00","202.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,807,430,579.88","1.63","4,807,430,579.88","53,203,083.00","90.36","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,268,661,854.73","1.44","4,268,661,854.73","47,162,323.00","90.51","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,067,743,272.32","1.38","4,067,743,272.32","36,682,688.00","110.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","3,955,034,607.48","1.34","3,955,034,607.48","8,322,534.00","475.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,724,372,916.65","1.26","3,724,372,916.65","26,126,783.00","142.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,553,038,564.68","1.20","3,553,038,564.68","23,287,924.00","152.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","3,473,509,300.04","1.18","3,473,509,300.04","20,029,462.00","173.42","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","3,180,086,733.44","1.08","3,180,086,733.44","14,563,504.00","218.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,905,662,992.78","0.98","2,905,662,992.78","21,107,533.00","137.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,672,909,652.00","0.90","2,672,909,652.00","7,561,272.00","353.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,651,584,899.24","0.90","2,651,584,899.24","9,118,556.00","290.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,567,771,701.60","0.87","2,567,771,701.60","15,845,552.00","162.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","2,445,856,981.41","0.83","2,445,856,981.41","15,752,283.00","155.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,408,523,022.80","0.82","2,408,523,022.80","22,583,432.00","106.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","2,206,958,167.42","0.75","2,206,958,167.42","7,024,726.00","314.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
