Symbol,Security,GICS Sector,GICS Sub-Industry
IPG,Interpublic Group of Companies (The),Communication Services,Advertising
OMC,Omnicom Group,Communication Services,Advertising
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
CHTR,Charter Communications,Communication Services,Cable & Satellite
CMCSA,Comcast,Communication Services,Cable & Satellite
T,AT&T,Communication Services,Integrated Telecommunication Services
VZ,Verizon,Communication Services,Integrated Telecommunication Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
MTCH,Match Group,Communication Services,Interactive Media & Services
META,Meta Platforms,Communication Services,Interactive Media & Services
DIS,Disney,Communication Services,Movies & Entertainment
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
NFLX,Netflix,Communication Services,Movies & Entertainment
PARA,Paramount Global,Communication Services,Movies & Entertainment
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
KMX,CarMax,Consumer Discretionary,Automotive Retail
AMZN,Amazon,Consumer Discretionary,Broadline Retail
EBAY,eBay,Consumer Discretionary,Broadline Retail
ETSY,Etsy,Consumer Discretionary,Broadline Retail
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
POOL,Pool Corporation,Consumer Discretionary,Distributors
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
DHI,D.R. Horton,Consumer Discretionary,Homebuilding
LEN,Lennar,Consumer Discretionary,Homebuilding
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
PHM,PulteGroup,Consumer Discretionary,Homebuilding
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
